Aberavon	Hywel	Francis	Labour	http://www.epolitix.com/webminster/hywel-francis
Aberdeen Central	Frank	Doran	Labour	http://www.frankdoran.org.uk/
Aberdeen North	Malcolm	Savidge	Labour	http://www.epolitix.com/webminster/malcolm-savidge
Aberdeen South	Anne	Begg	Labour	http://www.annebegg.info
Airdrie & Shotts	Helen	Liddell	Labour	
Aldershot	Gerald	Howarth	Con	
Aldridge-Brownhills	Richard	Shepherd	Con	
Altrincham & Sale West	Graham	Brady	Con	http://www.grahambradymp.co.uk
Alyn & Deeside	Mark	Tami	Labour	http://www.marktamimp.org.uk
Amber Valley	Judy	Mallaber	Labour	
Angus	Michael	Weir	SNP	http://www.angussnp.org/
Argyll & Bute	Alan	Reid	LD	http://www.scotlibdems.org.uk
Arundel & South Downs	Howard	Flight	Con	http://www.the-flight-site.org
Ashfield	Geoff	Hoon	Labour	http://www.epolitix.com/webminster/geoff-hoon
Ashford	Damian	Green	Con	http://www.damiangreen.org
Ashton-under-Lyne	David	Heyes	Labour	
Aylesbury	David	Lidington	Con	http://www.davidlidington.co.uk
Ayr	Sandra	Osborne	Labour	http://www.epolitix.com/webminster/sandra-osborne
Banbury	Tony	Baldry	Con	http://www.epolitix.com/webminster/tony-baldry
Banff & Buchan	Alex	Salmond	SNP	http://www.alexsalmond.net/
Barking	Margaret	Hodge	Labour	http://www.epolitix.com/webminster/margaret-hodge
Barnsley Central	Eric	Illsley	Labour	http://www.ericillsley.co.uk
Barnsley East & Mexborough	Jeff	Ennis	Labour	http://www.epolitix.com/webminster/jeff-ennis
Barnsley West & Penistone	Michael	Clapham	Labour	http://www.michael-clapham-mp.new.labour.org.uk
Barrow & Furness	John	Hutton	Labour	http://www.johnhuttonmp.co.uk
Basildon	Angela	Smith	Labour	http://www.angelasmithmp.org
Basingstoke	Andrew	Hunter	Ind Con	
Bassetlaw	John	Mann	Labour	http://www.johnmannmp.co.uk
Bath	Don	Foster	LD	http://www.donfoster.co.uk
Batley & Spen	Mike	Wood	Labour	http://www.mikewood.org.uk
Battersea	Martin	Linton	Labour	http://www.martinlinton.org.uk
Beaconsfield	Dominic	Grieve	Con	http://www.dominicgrieve.org.uk/
Beckenham	Jacqui	Lait	Con	http://www.jacquilaitmp.com
Bedford	Patrick	Hall	Labour	
Belfast East	Peter	Robinson	DUP	http://www.peterrobinson.org
Belfast North	Nigel	Dodds	DU	
Belfast South	Martin	Smyth	Ind U	http://www.epolitix.com/webminster/martin-smyth
Belfast West	Gerry	Adams	SF	
Berwick-upon-Tweed	Alan	Beith	LD	http://www.gtassoc.demon.co.uk/index2.html
Bethnal Green & Bow	Oona	King	Labour	http://www.oonaking.com
Beverley & Holderness	James	Cran	Con	
Bexhill & Battle	Gregory	Barker	Con	http://www.gregorybarker.com/
Bexleyheath & Crayford	Nigel	Beard	Labour	http://www.mymp.org.uk/nigelbeard
Billericay	John	Baron	Con	
Birkenhead	Frank	Field	Labour	http://www.frankfield.com
Birmingham, Edgbaston	Gisela	Stuart	Labour	http://www.giselastuartmp.co.uk
Birmingham, Erdington	Si&ocirc;n	Simon	Labour	
Birmingham, Hall Green	Stephen	McCabe	Labour	
Birmingham, Hodge Hill	Terry	Davis	Labour	http://www.liambyrne.co.uk/
Birmingham, Ladywood	Clare	Short	Labour	http://www.epolitix.com/webminster/clare-short
Birmingham, Northfield	Richard	Burden	Labour	http://www.richardburden.com
Birmingham, Perry Barr	Khalid	Mahmood	Labour	
Birmingham, Selly Oak	Lynne	Jones	Labour	http://www.lynnejones.org.uk
Birmingham, Sparkbrook & Small Heath	Roger	Godsiff	Labour	
Birmingham, Yardley	Estelle	Morris	Labour	
Bishop Auckland	Derek	Foster	Labour	
Blaby	Andrew	Robathan	Con	
Blackburn	Jack	Straw	Labour	
Blackpool North & Fleetwood	Joan	Humble	Labour	
Blackpool South	Gordon	Marsden	Labour	
Blaenau Gwent	Llew	Smith	Labour	
Blaydon	John	McWilliam	Labour	
Blyth Valley	Ronnie	Campbell	Labour	http://www.blythvalley.labour.co.uk
Bognor Regis & Littlehampton	Nick	Gibb	Con	
Bolsover	Dennis	Skinner	Labour	
Bolton North East	David	Crausby	Labour	
Bolton South East	Brian	Iddon	Labour	http://www.brianiddonmp.org.uk
Bolton West	Ruth	Kelly	Labour	http://www.ruthkelly.labour.co.uk
Bootle	Joe	Benton	Labour	http://www.epolitix.com/webminster/joe-benton
Boston & Skegness	Mark	Simmonds	Con	http://www.marksimmondsmp.org/
Bosworth	David	Tredinnick	Con	
Bournemouth East	David	Atkinson	Con	http://www.davidatkinson.net
Bournemouth West	John	Butterfill	Con	
Bracknell	Andrew	Mackay	Con	http://www.andrewmackaymp.com/
Bradford North	Terry	Rooney	Labour	
Bradford South	Gerry	Sutcliffe	Labour	http://www.gerrysutcliffe.org.uk
Bradford West	Marsha	Singh	Labour	
Braintree	Alan	Hurst	Labour	
Brecon & Radnorshire	Roger	Williams	LD	http://www.rogerwilliams.org.uk
Brent East	Sarah	Teather	LD	http://www.brentlibdems.org.uk/
Brent North	Barry	Gardiner	Labour	http://www.barrygardiner.com
Brent South	Paul	Boateng	Labour	http://www.paulboateng.labour.co.uk/
Brentford & Isleworth	Ann	Keen	Labour	http://www.annkeenmp.org.uk
Brentwood & Ongar	Eric	Pickles	Con	http://www.ericpickles.com
Bridgend	Win	Griffiths	Labour	http://www.wingriffithsmp.co.uk
Bridgwater	Ian	Liddell-Grainger	Con	http://www.somersetwest.org.uk/index.html
Brigg & Goole	Ian	Cawsey	Labour	http://www.iancawsey.co.uk
Brighton, Kemptown	Desmond	Turner	Labour	http://www.desturnermp.co.uk
Brighton, Pavilion	David	Lepper	Labour	http://www.epolitix.com/webminster/david-lepper
Bristol East	Jean	Corston	Labour	http://www.epolitix.com/webminster/jean-corston
Bristol North West	Doug	Naysmith	Labour	http://www.epolitix.com/EN/MPWebsites/Doug+Naysmith/
Bristol South	Dawn	Primarolo	Labour	http://www.dawnprimarolo.labour.co.uk
Bristol West	Valerie	Davey	Labour	http://www.valeriedavey.labour.co.uk/
Bromley & Chislehurst	Eric	Forth	Con	
Bromsgrove	Julie	Kirkbride	Con	http://www.bromsgrove-conservatives.org.uk/
Broxbourne	Marion	Roe	Con	http://www.tory-herts.org
Broxtowe	Nick	Palmer	Labour	http://www.broxtowelabour.org
Buckingham	John	Bercow	Con	http://www.buckinghamconservative.co.uk
Burnley	Peter	Pike	Labour	http://www.epolitix.com/webminster/peter-pike
Burton	Janet	Dean	Labour	http://www.epolitix.com/webminster/janet-dean
Bury North	David	Chaytor	Labour	http://www.epolitix.com/webminster/david-chaytor
Bury South	Ivan	Lewis	Labour	http://www.epolitix.com/webminster/ivan-lewis
Bury St Edmunds	David	Ruffley	Con	http://www.davidruffleymp.com
Caernarfon	Hywel	Williams	PC	http://www.hywelwilliams.org/english/the_MP.htm
Caerphilly	Wayne	David	Labour	http://www.waynedavid.labour.co.uk/
Caithness, Sutherland & Easter Ross	John	Thurso	LD	http://www.johnthurso.org
Calder Valley	Chris	McCafferty	Labour	http://www.mccafferty.btinternet.co.uk
Camberwell & Peckham	Harriet	Harman	Labour	http://www.harrietharman.labour.co.uk
Cambridge	Anne	Campbell	Labour	http://www.annecampbell.org.uk
Cannock Chase	Tony	Wright	Labour	http://www.tonywright.labour.co.uk
Canterbury	Julian	Brazier	Con	http://www.julianbrazier.co.uk/
Cardiff Central	Jon Owen	Jones	Labour	http://www.jonowenjones.labour.co.uk/
Cardiff North	Julie	Morgan	Labour	http://www.geocities.com/juliemorganmp/
Cardiff South & Penarth	Alun	Michael	Labour	http://www.alunmichael.com/
Cardiff West	Kevin	Brennan	Labour	http://www.epolitix.com/webminster/kevin-brennan
Carlisle	Eric	Martlew	Labour	
Carmarthen East & Dinefwr	Adam	Price	PC	http://www.epolitix.com/webminster/adam-price
Carmarthen West & South Pembrokeshire	Nick	Ainger	Labour	http://www.nickainger.labour.co.uk
Carrick, Cumnock & Doon Valley	George	Foulkes	Labour	http://www.georgefoulkesmp.co.uk
Carshalton & Wallington	Tom	Brake	LD	http://www.tombrake.co.uk
Castle Point	Robert	Spink	Con	http://www.epolitix.com/EN/MPWebsites/Robert%20Spink/
Central Fife	John	MacDougall	Labour	http://www.johnmacdougall.labour.co.uk
Central Suffolk & North Ipswich	Michael	Lord	DCWM	
Ceredigion	Simon	Thomas	PC	http://www.simonthomas.net/
Charnwood	Stephen	Dorrell	Con	http://www.stephendorrell.org.uk
Chatham & Aylesford	Jonathan R.	Shaw	Labour	http://www.jonathanshaw.labour.co.uk
Cheadle	Patsy	Calton	LD	http://www.patsycalton.org.uk/
Cheltenham	Nigel	Jones	LD	http://www.nigeljones.org.uk
Chesham & Amersham	Cheryl	Gillan	Con	http://www.epolitix.com/webminster/cheryl-gillan
Chester, City of	Christine	Russell	Labour	
Chesterfield	Paul	Holmes	LD	http://www.paulholmes.org.uk
Chichester	Andrew	Tyrie	Con	
Chingford & Woodford Green	Iain	Duncan Smith	Con	
Chipping Barnet	Sydney	Chapman	Con	http://www.sydneychapman.co.uk/
Chorley	Lindsay	Hoyle	Labour	http://www.lindsayhoyle.co.uk/
Christchurch	Christopher	Chope	Con	
Cities of London & Westminster	Mark	Field	Con	http://www.markfieldmp.com
Cleethorpes	Shona	McIsaac	Labour	http://www.shona-mp.com
Clwyd South	Martyn	Jones	Labour	http://www.epolitix.com/webminster/martyn-jones
Clwyd West	Gareth	Thomas	Labour	http://www.gareththomas.labour.co.uk/
Clydebank & Milngavie	Tony	Worthington	Labour	http://www.tonyworthington.labour.co.uk/
Clydesdale	Jimmy	Hood	Labour	http://www.jimmyhood.labour.co.uk
Coatbridge & Chryston	Tom	Clarke	Labour	
Colchester	Bob	Russell	LD	http://www.epolitix.com/webminster/bob-russell
Colne Valley	Kali	Mountford	Labour	http://www.kalimountfordmp.org.uk
Congleton	Ann	Winterton	Con	http://www.epolitix.com/webminster/ann-winterton
Conwy	Betty	Williams	Labour	http://www.epolitix.com/webminster/betty-williams
Copeland	Jack	Cunningham	Labour	http://www.epolitix.com/webminster/jack-cunningham
Corby	Phil	Hope	Labour	http://www.philhope.org.uk
Cotswold	Geoffrey	Clifton-Brown	Con	http://www.cliftonbrown.co.uk
Coventry North East	Bob	Ainsworth	Labour	http://www.peterainsworth.com/
Coventry North West	Geoffrey	Robinson	Labour	
Coventry South	Jim	Cunningham	Labour	http://www.epolitix.com/EN/MPWebsites/Jim+Cunningham/
